epoch,values
1513004400.0,42.65
1513005300.0,10.14
1513006200.0,38.0
1513007100.0,35.88
1513008000.0,26.68
1513008900.0,27.0
1513009800.0,50.42
1513010700.0,28.89
1513011600.0,24.42
1513012500.0,29.78
1513013400.0,51.34
1513014300.0,21.22
1513015200.0,28.25
1513016100.0,42.8
1513017000.0,23.07
1513017900.0,34.33
1513018800.0,24.14
1513019700.0,9.54
1513020600.0,10.01
1513021500.0,8.49
1513022400.0,8.92
1513023300.0,8.52
1513024200.0,8.27
1513025100.0,8.42
1513026000.0,8.76
1513026900.0,8.4
1513027800.0,8.26
1513028700.0,8.6
1513029600.0,8.62
1513030500.0,8.19
1513031400.0,9.04
1513032300.0,8.59
1513033200.0,8.7
1513034100.0,8.34
1513035000.0,8.29
1513035900.0,8.5
1513036800.0,7.89
1513037700.0,8.4
1513038600.0,8.57
1513039500.0,8.23
1513040400.0,8.39
1513041300.0,8.5
1513042200.0,7.93
1513043100.0,8.63
1513044000.0,8.5
1513044900.0,8.19
1513045800.0,7.63
1513046700.0,8.7
1513047600.0,7.94
1513048500.0,8.86
1513049400.0,8.42
1513050300.0,8.52
1513051200.0,9.13
1513052100.0,8.39
1513053000.0,8.8
1513053900.0,8.42
1513054800.0,9.1
1513055700.0,8.69
1513056600.0,8.86
1513057500.0,8.31
1513058400.0,9.03
1513059300.0,8.9
1513060200.0,8.49
1513061100.0,8.81
1513062000.0,8.31
1513062900.0,8.61
1513063800.0,8.05
1513064700.0,7.82
1513065600.0,9.06
1513066500.0,8.66
1513067400.0,8.17
1513068300.0,8.29
1513069200.0,9.14
1513070100.0,8.36
1513071000.0,8.83
1513071900.0,8.79
1513072800.0,8.21
1513073700.0,8.46
1513074600.0,7.67
1513075500.0,9.11
1513076400.0,8.99
1513077300.0,8.93
1513078200.0,8.33
1513079100.0,9.02
1513080000.0,9.62
1513080900.0,8.46
1513081800.0,8.69
1513082700.0,9.19
1513083600.0,11.43
1513084500.0,52.43
1513085400.0,31.1
1513086300.0,8.58
1513087200.0,10.82
1513088100.0,34.92
1513089000.0,19.97
1513089900.0,22.3
1513090800.0,31.31
1513091700.0,39.61
1513092600.0,25.32
1513093500.0,39.64
1513094400.0,45.35
1513095300.0,37.88
1513096200.0,39.06
1513097100.0,36.21
1513098000.0,40.5
1513098900.0,22.32
1513099800.0,25.32
1513100700.0,46.76
1513101600.0,42.1
1513102500.0,28.24
1513103400.0,29.38
